LOCATION,INDICATOR,SUBJECT,MEASURE,TIME_PERIOD,OBS_VALUE,ccodealp_year
COL,PENSIONASSET,TOT,MLN_USD,2017,77642.887,COL17
CHL,PENSIONASSET,TOT,PC_GDP,2017,72.226,CHL17
CHL,PENSIONASSET,TOT,MLN_USD,2017,210512.275,CHL17
BRA,PENSIONASSET,TOT,PC_GDP,2017,12.187,BRA17
GBR,PENSIONASSET,TOT,PC_GDP,2017,94.174,GBR17
TUR,PENSIONASSET,TOT,PC_GDP,2017,2.539,TUR17
SVK,PENSIONASSET,TOT,PC_GDP,2017,11.783,SVK17
PRT,PENSIONASSET,TOT,PC_GDP,2017,10.082,PRT17
PRT,PENSIONASSET,TOT,MLN_USD,2017,23693.56,PRT17
NZL,PENSIONASSET,TOT,PC_GDP,2017,26.161,NZL17
MEX,PENSIONASSET,TOT,PC_GDP,2017,15.662,MEX17
LUX,PENSIONASSET,TOT,MLN_USD,2017,1941.139,LUX17
KOR,PENSIONASSET,TOT,PC_GDP,2017,9.229,KOR17
JPN,PENSIONASSET,TOT,MLN_USD,2017,983196.661,JPN17
ITA,PENSIONASSET,TOT,PC_GDP,2017,7.557,ITA17
ISL,PENSIONASSET,TOT,PC_GDP,2017,150.04,ISL17
HUN,PENSIONASSET,TOT,MLN_USD,2017,6363.176,HUN17
FRA,PENSIONASSET,TOT,PC_GDP,2017,0.695,FRA17
DNK,PENSIONASSET,TOT,MLN_USD,2017,160173.29,DNK17
CZE,PENSIONASSET,TOT,MLN_USD,2017,20919.89,CZE17
AUS,PENSIONASSET,TOT,MLN_USD,2017,1797033.283,AUS17
ZMB,PRIVPENSIONASSET,TOT,MLN_USD,2017,788.609,ZMB17
MKD,PRIVPENSIONASSET,TOT,MLN_USD,2017,1135.879,MKD17
COL,PRIVPENSIONASSET,TOT,MLN_USD,2017,77642.887,COL17
SWE,PRIVPENSIONASSET,TOT,MLN_USD,2017,505463.694,SWE17
PRT,PRIVPENSIONASSET,TOT,MLN_USD,2017,45600.614,PRT17
KOR,PRIVPENSIONASSET,TOT,MLN_USD,2017,445243.447,KOR17
FRA,PRIVPENSIONASSET,TOT,MLN_USD,2017,274646.896,FRA17
PNG,PENSIONASSET,TOT,MLN_USD,2017,3733.929,PNG17
MWI,PRIVPENSIONASSET,TOT,MLN_USD,2017,727.106,MWI17
SGP,PENSIONASSET,TOT,PC_GDP,2017,75.693,SGP17
UKR,PRIVPENSIONASSET,TOT,MLN_USD,2017,87.846,UKR17
ZAF,PENSIONASSET,TOT,PC_GDP,2017,47.675,ZAF17
SVN,PENSIONASSET,TOT,MLN_USD,2017,2944.901,SVN17
BRA,PENSIONASSET,TOT,MLN_USD,2017,242655.139,BRA17
NLD,PENSIONASSET,TOT,MLN_USD,2017,1631230.294,NLD17
CAN,PENSIONASSET,TOT,MLN_USD,2017,1469889.199,CAN17
IDN,PRIVPENSIONASSET,TOT,MLN_USD,2017,18842.874,IDN17
ISL,PRIVPENSIONASSET,TOT,MLN_USD,2017,40255.535,ISL17
DNK,PRIVPENSIONASSET,TOT,MLN_USD,2017,721673.515,DNK17
ARG,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,13.6,ARG14
EU28,GPENSIONWEALTH,MEN,MULTAGEARN,2014,10.4,EU2814
OAVG,GPENSIONWEALTH,MEN,MULTAGEARN,2014,9.6,OAVG14
ZAF,GPENSIONWEALTH,MEN,MULTAGEARN,2014,1.4,ZAF14
SAU,GPENSIONWEALTH,MEN,MULTAGEARN,2014,14.8,SAU14
EU28,NPENSION,WOMEN,PC_PRERETEARN,2014,70.7,EU2814
RUS,NPENSION,MEN,PC_PRERETEARN,2014,86.4,RUS14
IDN,NPENSION,WOMEN,PC_PRERETEARN,2014,12.5,IDN14
IND,NPENSION,WOMEN,PC_PRERETEARN,2014,103.8,IND14
CHN,NPENSION,WOMEN,PC_PRERETEARN,2014,75.0,CHN14
BRA,NPENSION,WOMEN,PC_PRERETEARN,2014,58.1,BRA14
ARG,NPENSION,WOMEN,PC_PRERETEARN,2014,87.3,ARG14
EU28,GPENSION,MEN,PC_PRERETEARN,2014,59.0,EU2814
OAVG,GPENSION,MEN,PC_PRERETEARN,2014,52.9,OAVG14
ZAF,GPENSION,MEN,PC_PRERETEARN,2014,10.5,ZAF14
SAU,GPENSION,MEN,PC_PRERETEARN,2014,59.6,SAU14
AUS,PRIVPENSIONASSET,TOT,MLN_USD,2014,1681786.338,AUS14
SVN,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,10.6,SVN14
ISR,NPENSIONWEALTH,MEN,MULTAGEARN,2014,9.8,ISR14
EST,NPENSIONWEALTH,MEN,MULTAGEARN,2014,6.7,EST14
USA,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,6.1,USA14
GBR,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,3.9,GBR14
TUR,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,14.3,TUR14
CHE,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,7.3,CHE14
SWE,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,8.1,SWE14
ESP,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,14.5,ESP14
SVK,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,10.2,SVK14
PRT,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,12.3,PRT14
POL,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,6.8,POL14
NOR,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,9.0,NOR14
NZL,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,8.1,NZL14
NLD,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,12.9,NLD14
MEX,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,4.5,MEX14
LUX,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,16.5,LUX14
KOR,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,8.4,KOR14
JPN,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,6.9,JPN14
ITA,NPENSIONWEALTH,MEN,MULTAGEARN,2014,9.6,ITA14
IRL,NPENSIONWEALTH,MEN,MULTAGEARN,2014,6.3,IRL14
ISL,NPENSIONWEALTH,MEN,MULTAGEARN,2014,8.9,ISL14
HUN,NPENSIONWEALTH,MEN,MULTAGEARN,2014,8.5,HUN14
GRC,NPENSIONWEALTH,MEN,MULTAGEARN,2014,10.6,GRC14
DEU,NPENSIONWEALTH,MEN,MULTAGEARN,2014,12.0,DEU14
FRA,NPENSIONWEALTH,MEN,MULTAGEARN,2014,9.1,FRA14
FIN,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,9.4,FIN14
DNK,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,7.7,DNK14
CZE,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,8.7,CZE14
CAN,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,7.0,CAN14
BEL,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,7.0,BEL14
AUT,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,12.3,AUT14
AUS,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,8.2,AUS14
SRB,PENSIONASSET,TOT,PC_GDP,2014,0.569,SRB14
ZMB,PENSIONASSET,TOT,PC_GDP,2014,2.991,ZMB14
SVN,PENSIONASSET,TOT,PC_GDP,2014,5.616,SVN14
PAK,PENSIONASSET,TOT,PC_GDP,2014,0.036,PAK14
PAK,PENSIONASSET,TOT,MLN_USD,2014,101.522,PAK14
NGA,PENSIONASSET,TOT,PC_GDP,2014,5.116,NGA14
NGA,PENSIONASSET,TOT,MLN_USD,2014,27178.395,NGA14
HRV,PENSIONASSET,TOT,MLN_USD,2014,11156.831,HRV14
CHN,PENSIONASSET,TOT,MLN_USD,2014,125657.787,CHN14
KOR,PENSIONASSET,TOT,MLN_USD,2014,98792.783,KOR14
FRA,PENSIONASSET,TOT,MLN_USD,2014,12593.508,FRA14
ROU,PRIVPENSIONASSET,TOT,MLN_USD,2014,5471.385,ROU14
PER,PRIVPENSIONASSET,TOT,MLN_USD,2014,38359.631,PER14
PAK,PRIVPENSIONASSET,TOT,MLN_USD,2014,101.522,PAK14
NGA,PRIVPENSIONASSET,TOT,MLN_USD,2014,27178.395,NGA14
EST,PRIVPENSIONASSET,TOT,MLN_USD,2014,3086.667,EST14
SVN,GPENSIONWEALTH,MEN,MULTAGEARN,2014,8.5,SVN14
ISR,GPENSIONWEALTH,MEN,MULTAGEARN,2014,10.7,ISR14
EST,GPENSIONWEALTH,MEN,MULTAGEARN,2014,7.2,EST14
USA,GPENSIONWEALTH,MEN,MULTAGEARN,2014,5.7,USA14
GBR,GPENSIONWEALTH,MEN,MULTAGEARN,2014,3.6,GBR14
TUR,GPENSIONWEALTH,MEN,MULTAGEARN,2014,12.3,TUR14
CHE,GPENSIONWEALTH,MEN,MULTAGEARN,2014,7.7,CHE14
SWE,GPENSIONWEALTH,MEN,MULTAGEARN,2014,9.7,SWE14
BEL,GPENSIONWEALTH,WOMEN,MULTAGEARN,2014,9.3,BEL14
AUT,GPENSIONWEALTH,WOMEN,MULTAGEARN,2014,15.8,AUT14
AUS,GPENSIONWEALTH,WOMEN,MULTAGEARN,2014,8.2,AUS14
SVN,NPENSION,WOMEN,PC_PRERETEARN,2014,60.4,SVN14
ISR,NPENSION,WOMEN,PC_PRERETEARN,2014,61.9,ISR14
EST,NPENSION,WOMEN,PC_PRERETEARN,2014,59.8,EST14
USA,NPENSION,MEN,PC_PRERETEARN,2014,44.8,USA14
GBR,NPENSION,MEN,PC_PRERETEARN,2014,28.5,GBR14
TUR,NPENSION,MEN,PC_PRERETEARN,2014,104.8,TUR14
CHE,NPENSION,MEN,PC_PRERETEARN,2014,46.9,CHE14
HUN,NPENSION,WOMEN,PC_PRERETEARN,2014,89.6,HUN14
GRC,NPENSION,WOMEN,PC_PRERETEARN,2014,72.9,GRC14
DEU,NPENSION,WOMEN,PC_PRERETEARN,2014,50.0,DEU14
FRA,NPENSION,WOMEN,PC_PRERETEARN,2014,67.7,FRA14
FIN,NPENSION,WOMEN,PC_PRERETEARN,2014,63.5,FIN14
DNK,NPENSION,WOMEN,PC_PRERETEARN,2014,66.4,DNK14
CZE,NPENSION,WOMEN,PC_PRERETEARN,2014,63.8,CZE14
KEN,PENSIONASSET,TOT,MLN_USD,2014,8344.192,KEN14
KEN,PRIVPENSIONASSET,TOT,MLN_USD,2014,8344.192,KEN14
JAM,PENSIONASSET,TOT,MLN_USD,2014,2958.431,JAM14
DOM,PENSIONASSET,TOT,MLN_USD,2014,6896.551,DOM14
PAN,PRIVPENSIONASSET,TOT,MLN_USD,2014,384.45,PAN14
SGP,PRIVPENSIONASSET,TOT,MLN_USD,2014,208112.675,SGP14
UGA,PENSIONASSET,TOT,PC_GDP,2014,5.575,UGA14
UGA,PENSIONASSET,TOT,MLN_USD,2014,1816.549,UGA14
MYS,PENSIONASSET,TOT,PC_GDP,2014,0.064,MYS14
GHA,PENSIONASSET,TOT,PC_GDP,2014,1.627,GHA14
EU28,NPENSIONWEALTH,WOMEN,MULTAGEARN,2014,10.3,EU2814
RUS,NPENSIONWEALTH,MEN,MULTAGEARN,2014,9.6,RUS14
IDN,NPENSIONWEALTH,MEN,MULTAGEARN,2014,2.3,IDN14
IND,NPENSIONWEALTH,MEN,MULTAGEARN,2014,16.0,IND14
CHN,NPENSIONWEALTH,MEN,MULTAGEARN,2014,13.7,CHN14
BRA,NPENSIONWEALTH,MEN,MULTAGEARN,2014,17.3,BRA14
LTU,PENSIONASSET,TOT,MLN_USD,2014,2329.612,LTU14
EGY,PENSIONASSET,TOT,PC_GDP,2014,1.769,EGY14
EGY,PENSIONASSET,TOT,MLN_USD,2014,5552.071,EGY14
RUS,PENSIONASSET,TOT,MLN_USD,2014,70850.149,RUS14
IND,PENSIONASSET,TOT,PC_GDP,2014,5.665,IND14
BGR,PENSIONASSET,TOT,PC_GDP,2014,9.727,BGR14
GBR,PENSIONASSET,TOT,MLN_USD,2014,2300809.618,GBR14
CHE,PENSIONASSET,TOT,PC_GDP,2014,116.785,CHE14
ESP,PENSIONASSET,TOT,PC_GDP,2014,9.698,ESP14
SVK,PENSIONASSET,TOT,MLN_USD,2014,9644.606,SVK14
MEX,PENSIONASSET,TOT,MLN_USD,2014,181880.956,MEX14
ITA,PENSIONASSET,TOT,MLN_USD,2014,130657.933,ITA14
GRC,PENSIONASSET,TOT,PC_GDP,2014,0.614,GRC14
GRC,PENSIONASSET,TOT,MLN_USD,2014,1322.167,GRC14
DEU,PENSIONASSET,TOT,PC_GDP,2014,6.646,DEU14
FIN,PENSIONASSET,TOT,PC_GDP,2014,50.338,FIN14
CAN,PENSIONASSET,TOT,PC_GDP,2014,75.454,CAN14
AUT,PENSIONASSET,TOT,PC_GDP,2014,5.755,AUT14
URY,PRIVPENSIONASSET,TOT,MLN_USD,2014,10956.905,URY14
ZAF,PRIVPENSIONASSET,TOT,MLN_USD,2014,317525.246,ZAF14
RUS,PRIVPENSIONASSET,TOT,MLN_USD,2014,70850.149,RUS14
LIE,PRIVPENSIONASSET,TOT,MLN_USD,2014,4274.603,LIE14
LVA,PRIVPENSIONASSET,TOT,MLN_USD,2014,2813.121,LVA14
ISR,PRIVPENSIONASSET,TOT,MLN_USD,2014,154304.795,ISR14
IND,PRIVPENSIONASSET,TOT,MLN_USD,2014,111527.013,IND14
COL,PRIVPENSIONASSET,TOT,MLN_USD,2014,63741.598,COL14
ALB,PRIVPENSIONASSET,TOT,MLN_USD,2014,5.484,ALB14
USA,PRIVPENSIONASSET,TOT,MLN_USD,2014,23935895.53,USA14
GBR,PRIVPENSIONASSET,TOT,MLN_USD,2014,2300809.618,GBR14
CHE,PRIVPENSIONASSET,TOT,MLN_USD,2014,880702.603,CHE14
POL,PRIVPENSIONASSET,TOT,MLN_USD,2014,47051.85,POL14
NZL,PRIVPENSIONASSET,TOT,MLN_USD,2014,40495.502,NZL14
CAN,PRIVPENSIONASSET,TOT,MLN_USD,2014,2446199.466,CAN14
ARM,PRIVPENSIONASSET,TOT,MLN_USD,2016,130.85,ARM16
EGY,PRIVPENSIONASSET,TOT,MLN_USD,2016,2664.81,EGY16
URY,PENSIONASSET,TOT,PC_GDP,2016,21.154,URY16
ZAF,PENSIONASSET,TOT,MLN_USD,2016,171113.417,ZAF16
PER,PENSIONASSET,TOT,MLN_USD,2016,41177.227,PER16
MLT,PENSIONASSET,TOT,MLN_USD,2016,4115.647,MLT16
HRV,PENSIONASSET,TOT,MLN_USD,2016,12428.181,HRV16
USA,PENSIONASSET,TOT,MLN_USD,2016,14872666.5,USA16
CHE,PENSIONASSET,TOT,MLN_USD,2016,810967.132,CHE16
BEL,PENSIONASSET,TOT,PC_GDP,2016,6.752,BEL16
SRB,PRIVPENSIONASSET,TOT,MLN_USD,2016,280.533,SRB16
TUR,PRIVPENSIONASSET,TOT,MLN_USD,2016,35216.581,TUR16
HUN,PRIVPENSIONASSET,TOT,MLN_USD,2016,7039.799,HUN16
CZE,PRIVPENSIONASSET,TOT,MLN_USD,2016,15683.884,CZE16
KEN,PENSIONASSET,TOT,PC_GDP,2016,12.94,KEN16
NAM,PENSIONASSET,TOT,PC_GDP,2016,82.03,NAM16
MUS,PENSIONASSET,TOT,PC_GDP,2016,4.245,MUS16
UGA,PRIVPENSIONASSET,TOT,MLN_USD,2016,2071.921,UGA16
LTU,PENSIONASSET,TOT,PC_GDP,2016,6.619,LTU16
THA,PENSIONASSET,TOT,PC_GDP,2016,6.713,THA16
LVA,PENSIONASSET,TOT,MLN_USD,2016,402.758,LVA16
IDN,PENSIONASSET,TOT,MLN_USD,2016,17034.717,IDN16
EST,PENSIONASSET,TOT,PC_GDP,2016,14.237,EST16
COL,PENSIONASSET,TOT,MLN_USD,2016,64578.401,COL16
CHL,PENSIONASSET,TOT,PC_GDP,2016,68.989,CHL16
CHL,PENSIONASSET,TOT,MLN_USD,2016,174479.804,CHL16
BRA,PENSIONASSET,TOT,PC_GDP,2016,12.037,BRA16
GBR,PENSIONASSET,TOT,PC_GDP,2016,89.656,GBR16
TUR,PENSIONASSET,TOT,PC_GDP,2016,4.723,TUR16
SVK,PENSIONASSET,TOT,PC_GDP,2016,11.116,SVK16
PRT,PENSIONASSET,TOT,PC_GDP,2016,9.903,PRT16
PRT,PENSIONASSET,TOT,MLN_USD,2016,19467.071,PRT16
NZL,PENSIONASSET,TOT,PC_GDP,2016,24.002,NZL16
MEX,PENSIONASSET,TOT,PC_GDP,2016,15.018,MEX16
LUX,PENSIONASSET,TOT,MLN_USD,2016,1658.995,LUX16
KOR,PENSIONASSET,TOT,PC_GDP,2016,8.507,KOR16
JPN,PENSIONASSET,TOT,MLN_USD,2016,967680.188,JPN16
ITA,PENSIONASSET,TOT,PC_GDP,2016,7.291,ITA16
ISL,PENSIONASSET,TOT,PC_GDP,2016,137.089,ISL16
HUN,PENSIONASSET,TOT,MLN_USD,2016,5105.457,HUN16
FRA,PENSIONASSET,TOT,PC_GDP,2016,0.627,FRA16
DNK,PENSIONASSET,TOT,MLN_USD,2016,138345.17,DNK16
CZE,PENSIONASSET,TOT,MLN_USD,2016,15683.884,CZE16
AUS,PENSIONASSET,TOT,MLN_USD,2016,1492331.807,AUS16
ZMB,PRIVPENSIONASSET,TOT,MLN_USD,2016,670.968,ZMB16
MKD,PRIVPENSIONASSET,TOT,MLN_USD,2016,841.459,MKD16
COL,PRIVPENSIONASSET,TOT,MLN_USD,2016,64578.401,COL16
SWE,PRIVPENSIONASSET,TOT,MLN_USD,2016,389264.086,SWE16
KOR,PRIVPENSIONASSET,TOT,MLN_USD,2016,364392.272,KOR16
FRA,PRIVPENSIONASSET,TOT,MLN_USD,2016,231232.647,FRA16
LTU,PENSIONASSET,TOT,MLN_USD,2015,2375.968,LTU15
EGY,PENSIONASSET,TOT,PC_GDP,2015,1.67,EGY15
EGY,PENSIONASSET,TOT,MLN_USD,2015,5511.655,EGY15
RUS,PENSIONASSET,TOT,MLN_USD,2015,65767.006,RUS15
IND,PENSIONASSET,TOT,PC_GDP,2015,6.148,IND15
BGR,PENSIONASSET,TOT,PC_GDP,2015,10.484,BGR15
GBR,PENSIONASSET,TOT,MLN_USD,2015,2278920.65,GBR15
CHE,PENSIONASSET,TOT,PC_GDP,2015,117.975,CHE15
ESP,PENSIONASSET,TOT,PC_GDP,2015,9.642,ESP15
SVK,PENSIONASSET,TOT,MLN_USD,2015,8749.853,SVK15
MEX,PENSIONASSET,TOT,MLN_USD,2015,163963.459,MEX15
ITA,PENSIONASSET,TOT,MLN_USD,2015,122474.395,ITA15
GRC,PENSIONASSET,TOT,PC_GDP,2015,0.644,GRC15
GRC,PENSIONASSET,TOT,MLN_USD,2015,1235.675,GRC15
DEU,PENSIONASSET,TOT,PC_GDP,2015,6.683,DEU15
FIN,PENSIONASSET,TOT,PC_GDP,2015,48.888,FIN15
CAN,PENSIONASSET,TOT,PC_GDP,2015,83.14,CAN15
AUT,PENSIONASSET,TOT,PC_GDP,2015,5.975,AUT15
URY,PRIVPENSIONASSET,TOT,MLN_USD,2015,10612.974,URY15
ZAF,PRIVPENSIONASSET,TOT,MLN_USD,2015,259622.065,ZAF15
RUS,PRIVPENSIONASSET,TOT,MLN_USD,2015,65767.006,RUS15
LIE,PRIVPENSIONASSET,TOT,MLN_USD,2015,4973.783,LIE15
LVA,PRIVPENSIONASSET,TOT,MLN_USD,2015,2916.523,LVA15
ISR,PRIVPENSIONASSET,TOT,MLN_USD,2015,165227.976,ISR15
IND,PRIVPENSIONASSET,TOT,MLN_USD,2015,127659.387,IND15
COL,PRIVPENSIONASSET,TOT,MLN_USD,2015,51968.234,COL15
ALB,PRIVPENSIONASSET,TOT,MLN_USD,2015,7.396,ALB15
USA,PRIVPENSIONASSET,TOT,MLN_USD,2015,23981656.16,USA15
GBR,PRIVPENSIONASSET,TOT,MLN_USD,2015,2278920.65,GBR15
CHE,PRIVPENSIONASSET,TOT,MLN_USD,2015,892585.595,CHE15
POL,PRIVPENSIONASSET,TOT,MLN_USD,2015,40470.125,POL15
NZL,PRIVPENSIONASSET,TOT,MLN_USD,2015,39729.357,NZL15
CAN,PRIVPENSIONASSET,TOT,MLN_USD,2015,2225731.936,CAN15
MOZ,PENSIONASSET,TOT,PC_GDP,2015,0.517,MOZ15
PAN,PENSIONASSET,TOT,PC_GDP,2015,0.789,PAN15
SLV,PENSIONASSET,TOT,PC_GDP,2015,36.85,SLV15
TZA,PENSIONASSET,TOT,MLN_USD,2015,4114.57,TZA15
GHA,PENSIONASSET,TOT,MLN_USD,2015,1231.317,GHA15
ARM,PRIVPENSIONASSET,TOT,MLN_USD,2015,65.199,ARM15
EGY,PRIVPENSIONASSET,TOT,MLN_USD,2015,5511.655,EGY15
URY,PENSIONASSET,TOT,PC_GDP,2015,20.046,URY15
ZAF,PENSIONASSET,TOT,MLN_USD,2015,146148.215,ZAF15
PER,PENSIONASSET,TOT,MLN_USD,2015,36385.565,PER15
MLT,PENSIONASSET,TOT,MLN_USD,2015,3424.792,MLT15
HRV,PENSIONASSET,TOT,MLN_USD,2015,11290.507,HRV15
USA,PENSIONASSET,TOT,MLN_USD,2015,14173828.16,USA15
CHE,PENSIONASSET,TOT,MLN_USD,2015,794357.594,CHE15
BEL,PENSIONASSET,TOT,PC_GDP,2015,5.805,BEL15
SRB,PRIVPENSIONASSET,TOT,MLN_USD,2015,260.268,SRB15
TUR,PRIVPENSIONASSET,TOT,MLN_USD,2015,37196.459,TUR15
CZE,PRIVPENSIONASSET,TOT,MLN_USD,2015,15028.456,CZE15
LUX,PENSIONASSET,TOT,PC_GDP,2003,,LUX03
LUX,PENSIONASSET,TOT,MLN_USD,2001,,LUX01
LUX,PENSIONASSET,TOT,PC_GDP,2002,,LUX02
ARG,PENSIONASSET,TOT,PC_GDP,2011,0.0,ARG11
ARG,PENSIONASSET,TOT,MLN_USD,2011,0.0,ARG11
ARG,PENSIONASSET,TOT,PC_GDP,2010,0.0,ARG10
SWE,PENSIONASSET,TOT,MLN_USD,1998,0.0,SWE98
SWE,PENSIONASSET,TOT,PC_GDP,1996,0.0,SWE96
SVK,PENSIONASSET,TOT,PC_GDP,2004,0.0,SVK04
SWE,PENSIONASSET,TOT,MLN_USD,2000,0.0,SWE00
ARG,PENSIONASSET,TOT,MLN_USD,2009,0.0,ARG09
ARG,PENSIONASSET,TOT,PC_GDP,2008,0.0,ARG08
SWE,PENSIONASSET,TOT,PC_GDP,1997,0.0,SWE97
ARG,PENSIONASSET,TOT,PC_GDP,2016,0.0,ARG16
ARG,PENSIONASSET,TOT,MLN_USD,2012,0.0,ARG12
USA,PENSIONASSET,TOT,MLN_USD,1980,797695.0,USA80
USA,PENSIONASSET,TOT,PC_GDP,1984,35.338,USA84
USA,PRIVPENSIONASSET,TOT,MLN_USD,1984,1853905.0,USA84
USA,PENSIONASSET,TOT,MLN_USD,1985,1828127.0,USA85
USA,PENSIONASSET,TOT,PC_GDP,1987,45.856,USA87
USA,PRIVPENSIONASSET,TOT,MLN_USD,1987,2880714.67,USA87
USA,PENSIONASSET,TOT,MLN_USD,1987,2156201.67,USA87
USA,PENSIONASSET,TOT,PC_GDP,1986,45.146,USA86
USA,PRIVPENSIONASSET,TOT,MLN_USD,1986,2633097.0,USA86
USA,PENSIONASSET,TOT,MLN_USD,1988,2302850.14,USA88
USA,PENSIONASSET,TOT,PC_GDP,1992,54.831,USA92
USA,PRIVPENSIONASSET,TOT,MLN_USD,1992,4957826.0,USA92
NLD,PRIVPENSIONASSET,TOT,MLN_USD,1992,254518.84,NLD92
NLD,PENSIONASSET,TOT,MLN_USD,1992,254518.84,NLD92
NLD,PENSIONASSET,TOT,PC_GDP,1992,73.088,NLD92
USA,PENSIONASSET,TOT,MLN_USD,1993,3841361.0,USA93
NLD,PENSIONASSET,TOT,PC_GDP,1993,80.788,NLD93
CHE,PENSIONASSET,TOT,MLN_USD,1995,255469.304,CHE95
DEU,PENSIONASSET,TOT,MLN_USD,1995,67501.398,DEU95
USA,PENSIONASSET,TOT,PC_GDP,1995,65.823,USA95
NLD,PRIVPENSIONASSET,TOT,MLN_USD,1995,352253.153,NLD95
USA,PRIVPENSIONASSET,TOT,MLN_USD,1995,6916603.0,USA95
DEU,PRIVPENSIONASSET,TOT,MLN_USD,1995,67501.398,DEU95
USA,PENSIONASSET,TOT,MLN_USD,1995,4832953.0,USA95
USA,PENSIONASSET,TOT,PC_GDP,1994,58.427,USA94
NLD,PRIVPENSIONASSET,TOT,MLN_USD,1994,280228.328,NLD94
USA,PRIVPENSIONASSET,TOT,MLN_USD,1994,5873420.0,USA94
DEU,PENSIONASSET,TOT,PC_GDP,1996,2.778,DEU96
SWE,PRIVPENSIONASSET,TOT,MLN_USD,1996,57014.492,SWE96
USA,PENSIONASSET,TOT,MLN_USD,1996,5560654.0,USA96
ISR,PENSIONASSET,TOT,PC_GDP,1998,25.854,ISR98
CHE,PENSIONASSET,TOT,PC_GDP,1998,103.415,CHE98
NLD,PENSIONASSET,TOT,PC_GDP,1998,103.692,NLD98
CHE,PENSIONASSET,TOT,MLN_USD,1998,278354.174,CHE98
USA,PENSIONASSET,TOT,MLN_USD,1998,7228607.0,USA98
DEU,PENSIONASSET,TOT,PC_GDP,1998,3.608,DEU98
SWE,PRIVPENSIONASSET,TOT,MLN_USD,1998,58537.764,SWE98
DEU,PENSIONASSET,TOT,PC_GDP,1999,3.911,DEU99
PRT,PENSIONASSET,TOT,PC_GDP,1999,11.196,PRT99
SWE,PRIVPENSIONASSET,TOT,MLN_USD,1999,66935.557,SWE99
NLD,PENSIONASSET,TOT,MLN_USD,1999,477553.63,NLD99
NLD,PENSIONASSET,TOT,MLN_USD,1997,398976.714,NLD97
USA,PENSIONASSET,TOT,MLN_USD,1997,6439861.0,USA97
CHE,PENSIONASSET,TOT,MLN_USD,1997,251728.104,CHE97
CRI,PENSIONASSET,TOT,MLN_USD,2022,26683.958,CRI22
DOM,PRIVPENSIONASSET,TOT,MLN_USD,2022,15742.321,DOM22
MUS,PENSIONASSET,TOT,MLN_USD,2022,1366.64,MUS22
DOM,PENSIONASSET,TOT,PC_GDP,2022,14.358,DOM22
CRI,PENSIONASSET,TOT,PC_GDP,2022,36.064,CRI22
HRV,GPENSIONWEALTH,MEN,MULTAGEARN,2022,8.6,HRV22
CHN,PRIVPENSIONASSET,TOT,MLN_USD,2022,412854.28,CHN22
MYS,PRIVPENSIONASSET,TOT,MLN_USD,2022,1225.697,MYS22
OAVG,GPENSIONWEALTH,MEN,MULTAGEARN,2022,10.1,OAVG22
ZAF,GPENSIONWEALTH,MEN,MULTAGEARN,2022,1.4,ZAF22
SAU,GPENSIONWEALTH,MEN,MULTAGEARN,2022,17.4,SAU22
IND,NPENSION,WOMEN,PC_PRERETEARN,2022,42.9,IND22
CHN,NPENSION,WOMEN,PC_PRERETEARN,2022,70.1,CHN22
BRA,NPENSION,WOMEN,PC_PRERETEARN,2022,102.0,BRA22
ARG,NPENSION,WOMEN,PC_PRERETEARN,2022,86.9,ARG22
OAVG,GPENSION,MEN,PC_PRERETEARN,2022,50.7,OAVG22
ZAF,GPENSION,MEN,PC_PRERETEARN,2022,8.0,ZAF22
SAU,GPENSION,MEN,PC_PRERETEARN,2022,59.6,SAU22
LTU,PRIVPENSIONASSET,TOT,MLN_USD,2022,6231.369,LTU22
NOR,PENSIONASSET,TOT,MLN_USD,2022,44413.278,NOR22
DNK,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,12.9,DNK22
CZE,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,13.4,CZE22
