LOCATION,INDICATOR,SUBJECT,MEASURE,TIME_PERIOD,OBS_VALUE,ccodealp_year
ISR,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,9.8,ISR22
EST,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,6.5,EST22
CYP,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,13.4,CYP22
USA,NPENSIONWEALTH,MEN,MULTAGEARN,2022,9.5,USA22
GBR,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.3,GBR22
TUR,NPENSIONWEALTH,MEN,MULTAGEARN,2022,17.9,TUR22
CHE,NPENSIONWEALTH,MEN,MULTAGEARN,2022,10.6,CHE22
SWE,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.6,SWE22
ESP,NPENSIONWEALTH,MEN,MULTAGEARN,2022,21.6,ESP22
SVK,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.6,SVK22
PRT,NPENSIONWEALTH,MEN,MULTAGEARN,2022,17.2,PRT22
POL,NPENSIONWEALTH,MEN,MULTAGEARN,2022,7.4,POL22
NOR,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.6,NOR22
NZL,NPENSIONWEALTH,MEN,MULTAGEARN,2022,10.7,NZL22
NLD,NPENSIONWEALTH,MEN,MULTAGEARN,2022,16.8,NLD22
MEX,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.0,MEX22
LUX,NPENSIONWEALTH,MEN,MULTAGEARN,2022,22.9,LUX22
KOR,NPENSIONWEALTH,MEN,MULTAGEARN,2022,7.1,KOR22
JPN,NPENSIONWEALTH,MEN,MULTAGEARN,2022,8.2,JPN22
GRC,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,19.5,GRC22
DEU,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,13.6,DEU22
FRA,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,16.8,FRA22
FIN,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,13.3,FIN22
FIN,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.8,FIN22
DNK,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.7,DNK22
CZE,NPENSIONWEALTH,MEN,MULTAGEARN,2022,12.0,CZE22
CAN,NPENSIONWEALTH,MEN,MULTAGEARN,2022,9.2,CAN22
BEL,NPENSIONWEALTH,MEN,MULTAGEARN,2022,11.7,BEL22
AUT,NPENSIONWEALTH,MEN,MULTAGEARN,2022,17.7,AUT22
AUS,NPENSIONWEALTH,MEN,MULTAGEARN,2022,10.6,AUS22
IRL,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,9.0,IRL22
ISL,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,10.5,ISL22
HUN,NPENSIONWEALTH,WOMEN,MULTAGEARN,2022,16.0,HUN22
ISR,PENSIONASSET,TOT,PC_GDP,2022,58.106,ISR22
IND,PENSIONASSET,TOT,PC_GDP,2022,3.135,IND22
HKG,PENSIONASSET,TOT,PC_GDP,2022,49.477,HKG22
CHN,PENSIONASSET,TOT,PC_GDP,2022,2.354,CHN22
BGR,PENSIONASSET,TOT,PC_GDP,2022,11.664,BGR22
GBR,PENSIONASSET,TOT,MLN_USD,2022,2561509.028,GBR22
CHE,PENSIONASSET,TOT,PC_GDP,2022,138.11,CHE22
ESP,PENSIONASSET,TOT,PC_GDP,2022,8.636,ESP22
SVK,PENSIONASSET,TOT,MLN_USD,2022,16076.862,SVK22
NZL,PENSIONASSET,TOT,MLN_USD,2022,78422.68,NZL22
MEX,PENSIONASSET,TOT,MLN_USD,2022,269095.118,MEX22
KOR,PENSIONASSET,TOT,PC_GDP,2022,15.538,KOR22
ITA,PENSIONASSET,TOT,MLN_USD,2022,173660.612,ITA22
GRC,PENSIONASSET,TOT,PC_GDP,2022,0.872,GRC22
GRC,PENSIONASSET,TOT,MLN_USD,2022,1933.746,GRC22
DEU,PENSIONASSET,TOT,PC_GDP,2022,6.47,DEU22
FIN,PENSIONASSET,TOT,PC_GDP,2022,52.658,FIN22
CZE,PENSIONASSET,TOT,PC_GDP,2022,8.841,CZE22
CAN,PENSIONASSET,TOT,PC_GDP,2022,77.213,CAN22
AUT,PENSIONASSET,TOT,PC_GDP,2022,5.443,AUT22
URY,PRIVPENSIONASSET,TOT,MLN_USD,2022,19538.626,URY22
LVA,PRIVPENSIONASSET,TOT,MLN_USD,2022,6794.471,LVA22
ISR,PRIVPENSIONASSET,TOT,MLN_USD,2022,307330.16,ISR22
ALB,PRIVPENSIONASSET,TOT,MLN_USD,2022,53.403,ALB22
USA,PRIVPENSIONASSET,TOT,MLN_USD,2022,35016906.81,USA22
GBR,PRIVPENSIONASSET,TOT,MLN_USD,2022,2561509.028,GBR22
POL,PRIVPENSIONASSET,TOT,MLN_USD,2022,47153.335,POL22
NZL,PRIVPENSIONASSET,TOT,MLN_USD,2022,78422.68,NZL22
GRC,PRIVPENSIONASSET,TOT,MLN_USD,2022,1933.746,GRC22
CAN,PRIVPENSIONASSET,TOT,MLN_USD,2022,3126434.61,CAN22
SVN,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,11.9,SVN22
ROU,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,9.2,ROU22
ISR,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,7.8,ISR22
EST,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,5.3,EST22
CYP,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,12.0,CYP22
USA,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,7.9,USA22
GBR,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,9.4,GBR22
TUR,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,15.0,TUR22
CHE,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,10.3,CHE22
SWE,GPENSIONWEALTH,WOMEN,MULTAGEARN,2022,11.7,SWE22
BEL,GPENSIONWEALTH,MEN,MULTAGEARN,2022,8.4,BEL22
AUT,GPENSIONWEALTH,MEN,MULTAGEARN,2022,15.0,AUT22
AUS,GPENSIONWEALTH,MEN,MULTAGEARN,2022,8.1,AUS22
SVN,NPENSION,MEN,PC_PRERETEARN,2022,63.4,SVN22
LTU,NPENSION,WOMEN,PC_PRERETEARN,2022,28.9,LTU22
ISR,NPENSION,MEN,PC_PRERETEARN,2022,47.3,ISR22
EST,NPENSION,MEN,PC_PRERETEARN,2022,34.4,EST22
USA,NPENSION,WOMEN,PC_PRERETEARN,2022,50.5,USA22
GBR,NPENSION,WOMEN,PC_PRERETEARN,2022,54.4,GBR22
TUR,NPENSION,WOMEN,PC_PRERETEARN,2022,91.6,TUR22
CHE,NPENSION,WOMEN,PC_PRERETEARN,2022,45.3,CHE22
SWE,NPENSION,WOMEN,PC_PRERETEARN,2022,65.3,SWE22
HUN,NPENSION,MEN,PC_PRERETEARN,2022,78.8,HUN22
GRC,NPENSION,MEN,PC_PRERETEARN,2022,90.0,GRC22
DEU,NPENSION,MEN,PC_PRERETEARN,2022,55.3,DEU22
FRA,NPENSION,MEN,PC_PRERETEARN,2022,71.9,FRA22
FIN,NPENSION,MEN,PC_PRERETEARN,2022,65.1,FIN22
DNK,NPENSION,MEN,PC_PRERETEARN,2022,77.3,DNK22
CZE,NPENSION,MEN,PC_PRERETEARN,2022,58.9,CZE22
CHE,PENSIONASSET,TOT,PC_GDP,1995,81.125,CHE95
NLD,PENSIONASSET,TOT,PC_GDP,1995,81.415,NLD95
USA,PENSIONASSET,TOT,PC_GDP,1996,71.637,USA96
DEU,PENSIONASSET,TOT,MLN_USD,1996,67754.603,DEU96
USA,PRIVPENSIONASSET,TOT,MLN_USD,1996,7800987.0,USA96
NLD,PRIVPENSIONASSET,TOT,MLN_USD,1996,391442.468,NLD96
DEU,PRIVPENSIONASSET,TOT,MLN_USD,1996,67754.603,DEU96
POL,PRIVPENSIONASSET,TOT,MLN_USD,1999,548.022,POL99
USA,PENSIONASSET,TOT,MLN_USD,1999,8113309.0,USA99
CHE,PENSIONASSET,TOT,MLN_USD,1999,299454.328,CHE99
USA,PENSIONASSET,TOT,PC_GDP,1997,78.05,USA97
DEU,PENSIONASSET,TOT,MLN_USD,1997,73012.259,DEU97
USA,PRIVPENSIONASSET,TOT,MLN_USD,1997,9007215.0,USA97
NLD,PRIVPENSIONASSET,TOT,MLN_USD,1997,398976.714,NLD97
DEU,PRIVPENSIONASSET,TOT,MLN_USD,1997,73012.259,DEU97
USA,PENSIONASSET,TOT,MLN_USD,2000,7944684.0,USA00
CHE,PENSIONASSET,TOT,MLN_USD,2000,275649.429,CHE00
PRT,PENSIONASSET,TOT,PC_GDP,2000,11.25,PRT00
PRT,PENSIONASSET,TOT,MLN_USD,2000,12676.576,PRT00
DEU,PENSIONASSET,TOT,PC_GDP,2000,3.893,DEU00
SWE,PRIVPENSIONASSET,TOT,MLN_USD,2000,61647.93,SWE00
LVA,PENSIONASSET,TOT,PC_GDP,2003,0.296,LVA03
ISR,PENSIONASSET,TOT,PC_GDP,2003,23.251,ISR03
IDN,PENSIONASSET,TOT,PC_GDP,2003,2.165,IDN03
HKG,PENSIONASSET,TOT,MLN_USD,2003,29173.553,HKG03
HRV,PENSIONASSET,TOT,PC_GDP,2003,2.193,HRV03
COL,PENSIONASSET,TOT,PC_GDP,2003,7.688,COL03
BGR,PENSIONASSET,TOT,MLN_USD,2003,331.112,BGR03
GBR,PENSIONASSET,TOT,MLN_USD,2003,1294503.59,GBR03
CHE,PENSIONASSET,TOT,PC_GDP,2003,92.345,CHE03
SWE,PENSIONASSET,TOT,MLN_USD,2003,26358.148,SWE03
ESP,PENSIONASSET,TOT,MLN_USD,2003,61239.46,ESP03
SVK,PENSIONASSET,TOT,MLN_USD,2003,8.355,SVK03
NOR,PENSIONASSET,TOT,MLN_USD,2003,15431.974,NOR03
NLD,PENSIONASSET,TOT,PC_GDP,2003,94.113,NLD03
JPN,PENSIONASSET,TOT,MLN_USD,2003,516703.838,JPN03
IRL,PENSIONASSET,TOT,MLN_USD,2003,70034.613,IRL03
HUN,PENSIONASSET,TOT,PC_GDP,2003,5.156,HUN03
DNK,PENSIONASSET,TOT,PC_GDP,2003,27.762,DNK03
CZE,PENSIONASSET,TOT,PC_GDP,2003,2.841,CZE03
AUS,PENSIONASSET,TOT,PC_GDP,2003,66.997,AUS03
THA,PRIVPENSIONASSET,TOT,MLN_USD,2003,7257.495,THA03
ISR,PRIVPENSIONASSET,TOT,MLN_USD,2003,31802.212,ISR03
BGR,PRIVPENSIONASSET,TOT,MLN_USD,2003,331.112,BGR03
SVK,PRIVPENSIONASSET,TOT,MLN_USD,2003,8.355,SVK03
ITA,PRIVPENSIONASSET,TOT,MLN_USD,2003,48178.674,ITA03
THA,PENSIONASSET,TOT,MLN_USD,2003,7257.495,THA03
ISR,PENSIONASSET,TOT,MLN_USD,2003,31752.233,ISR03
HRV,PRIVPENSIONASSET,TOT,MLN_USD,2003,863.241,HRV03
IRL,PRIVPENSIONASSET,TOT,MLN_USD,2003,70034.613,IRL03
FIN,PRIVPENSIONASSET,TOT,MLN_USD,2003,112230.18,FIN03
ITA,PRIVPENSIONASSET,TOT,MLN_USD,2004,56532.837,ITA04
THA,PENSIONASSET,TOT,MLN_USD,2004,7820.094,THA04
ISR,PENSIONASSET,TOT,MLN_USD,2004,34370.767,ISR04
TUR,PENSIONASSET,TOT,MLN_USD,2004,1638.837,TUR04
HRV,PRIVPENSIONASSET,TOT,MLN_USD,2004,1555.796,HRV04
IRL,PRIVPENSIONASSET,TOT,MLN_USD,2004,84904.733,IRL04
FIN,PRIVPENSIONASSET,TOT,MLN_USD,2004,143412.785,FIN04
CRI,PENSIONASSET,TOT,PC_GDP,2004,4.658,CRI04
CHN,PRIVPENSIONASSET,TOT,MLN_USD,2004,5956.624,CHN04
URY,PENSIONASSET,TOT,MLN_USD,2004,1678.262,URY04
HKG,PENSIONASSET,TOT,PC_GDP,2004,22.602,HKG04
EST,PENSIONASSET,TOT,MLN_USD,2004,233.61,EST04
ARG,PENSIONASSET,TOT,PC_GDP,2004,11.166,ARG04
USA,PENSIONASSET,TOT,PC_GDP,2004,74.097,USA04
POL,PENSIONASSET,TOT,PC_GDP,2004,6.706,POL04
POL,PENSIONASSET,TOT,MLN_USD,2004,20925.632,POL04
NOR,PENSIONASSET,TOT,PC_GDP,2004,6.384,NOR04
NZL,PENSIONASSET,TOT,MLN_USD,2004,11052.834,NZL04
MEX,PENSIONASSET,TOT,MLN_USD,2004,42779.002,MEX04
JPN,PENSIONASSET,TOT,PC_GDP,2004,7.627,JPN04
IRL,PENSIONASSET,TOT,PC_GDP,2004,39.891,IRL04
ISL,PENSIONASSET,TOT,MLN_USD,2004,16217.875,ISL04
DEU,PENSIONASSET,TOT,MLN_USD,2004,116972.956,DEU04
FIN,PENSIONASSET,TOT,MLN_USD,2004,128327.527,FIN04
AUT,PENSIONASSET,TOT,MLN_USD,2004,14124.977,AUT04
SVN,PRIVPENSIONASSET,TOT,MLN_USD,2004,669.187,SVN04
CHL,PRIVPENSIONASSET,TOT,MLN_USD,2004,60534.599,CHL04
ESP,PRIVPENSIONASSET,TOT,MLN_USD,2004,136722.694,ESP04
NLD,PRIVPENSIONASSET,TOT,MLN_USD,2004,723379.982,NLD04
LUX,PRIVPENSIONASSET,TOT,MLN_USD,2004,127.104,LUX04
DEU,PRIVPENSIONASSET,TOT,MLN_USD,2004,116972.956,DEU04
ZMB,PENSIONASSET,TOT,MLN_USD,2002,151.283,ZMB02
ZAF,PENSIONASSET,TOT,PC_GDP,2002,40.262,ZAF02
PER,PENSIONASSET,TOT,PC_GDP,2002,8.383,PER02
NLD,PENSIONASSET,TOT,MLN_USD,2002,417138.253,NLD02
CAN,PENSIONASSET,TOT,MLN_USD,2002,352948.048,CAN02
IDN,PRIVPENSIONASSET,TOT,MLN_USD,2002,4496.644,IDN02
ARG,PRIVPENSIONASSET,TOT,MLN_USD,2002,11649.518,ARG02
ISL,PRIVPENSIONASSET,TOT,MLN_USD,2002,8614.644,ISL02
DNK,PRIVPENSIONASSET,TOT,MLN_USD,2002,211365.965,DNK02
CRI,PENSIONASSET,TOT,MLN_USD,2002,771.708,CRI02
BOL,PENSIONASSET,TOT,PC_GDP,2002,15.115,BOL02
LVA,PENSIONASSET,TOT,PC_GDP,2002,0.27,LVA02
ISR,PENSIONASSET,TOT,PC_GDP,2002,22.636,ISR02
IDN,PENSIONASSET,TOT,PC_GDP,2002,2.029,IDN02
HKG,PENSIONASSET,TOT,MLN_USD,2002,27532.572,HKG02
HRV,PENSIONASSET,TOT,PC_GDP,2002,1.101,HRV02
COL,PENSIONASSET,TOT,PC_GDP,2002,6.732,COL02
BGR,PENSIONASSET,TOT,MLN_USD,2002,179.001,BGR02
GBR,PENSIONASSET,TOT,MLN_USD,2002,1019320.05,GBR02
CHE,PENSIONASSET,TOT,PC_GDP,2002,86.401,CHE02
SWE,PENSIONASSET,TOT,MLN_USD,2002,20425.156,SWE02
ESP,PENSIONASSET,TOT,MLN_USD,2002,43465.217,ESP02
SVK,PENSIONASSET,TOT,MLN_USD,2002,0.005,SVK02
NOR,PENSIONASSET,TOT,MLN_USD,2002,12147.723,NOR02
NLD,PENSIONASSET,TOT,PC_GDP,2002,79.373,NLD02
JPN,PENSIONASSET,TOT,MLN_USD,2002,586729.099,JPN02
IRL,PENSIONASSET,TOT,MLN_USD,2002,46992.352,IRL02
HUN,PENSIONASSET,TOT,PC_GDP,2002,4.394,HUN02
DNK,PENSIONASSET,TOT,PC_GDP,2002,25.319,DNK02
CZE,PENSIONASSET,TOT,PC_GDP,2002,2.497,CZE02
AUS,PENSIONASSET,TOT,PC_GDP,2002,68.529,AUS02
THA,PRIVPENSIONASSET,TOT,MLN_USD,2002,5673.545,THA02
ISR,PRIVPENSIONASSET,TOT,MLN_USD,2002,28352.544,ISR02
BGR,PRIVPENSIONASSET,TOT,MLN_USD,2002,179.001,BGR02
SVK,PRIVPENSIONASSET,TOT,MLN_USD,2002,0.005,SVK02
AUS,PRIVPENSIONASSET,TOT,MLN_USD,2006,678162.183,AUS06
ZMB,PENSIONASSET,TOT,PC_GDP,2006,3.194,ZMB06
SVN,PENSIONASSET,TOT,PC_GDP,2006,2.806,SVN06
HRV,PENSIONASSET,TOT,MLN_USD,2006,2935.799,HRV06
