year_x,wdi_gdpgr,wdi_gdpcapcon2015,wdi_gdpcappppcon2017,wdi_inflation,wdi_fertility,oecd_houswealth_t1a,oecd_houswealth_t1f,oecd_emplage_t1a,wdi_lfpyne,oecd_taxapw_t1,kun_wiqreco_all,nrmi_nrpi,kun_wiqreco_full,OECD_PPA,OECD_PFA_USD,OECD_PFA_PC_GDP
2003,4.723245268610412,9227.912338331987,16636.65374635162,2.81017875743615,1.873,14.29971,33.92663,,36.08,7.0,20.0,,18.0,49224.169,49224.169,55.78
2004,6.674254168229226,9746.183277102253,17571.02479789501,1.05473871403516,1.826,13.97921,35.29119,,36.35,7.0,19.0,,16.0,60534.599,60534.599,56.115
2005,5.837045719177581,10214.73279898216,18415.75498959335,3.05257621387848,1.803,13.18195,36.76228,25.36164,36.2,7.0,18.0,,15.0,74507.84,74507.84,55.957
2006,6.049990825639682,10727.10288912894,19339.48762458495,3.39201733699404,1.803,13.11445,39.56542,25.99293,36.62,7.0,18.0,,15.0,88293.462,88293.462,57.843
2007,5.16823098528431,11171.4197395406,20140.5296504463,4.40779938398046,1.826,11.52261,41.63878,26.38727,37.15,7.0,19.0,,16.0,111276.576,111276.576,61.195
2008,3.789392806352382,11479.28183236749,20695.56256062173,8.7162687303961,1.85,13.19728,36.41286,27.44823,39.54,7.0,16.0,,14.0,74312.759,74312.759,49.805
2009,-1.118037236428776,11234.96821112327,20255.09878364439,0.353045178360941,1.855,10.78977,41.91865,25.78601,38.43,7.0,18.0,,16.0,118052.153,118052.153,62.186
2010,5.851651022240475,11773.00440023091,21225.10385662371,1.41071107954318,1.844,10.48826,43.19477,30.53207,37.74,7.0,18.0,58.9401746411294,16.0,148437.026,148437.026,62.759
2011,6.223896785091384,12382.37946355134,22323.72308472482,3.34121694259299,1.823,12.10247,41.63527,31.68756,38.63,7.0,,59.2196547802976,,134962.258,134962.258,57.919
2012,6.155340018554938,13017.06783976196,23467.97872616485,3.00744840213049,1.798,12.94201,41.85255,31.08562,37.37,7.0,,59.2352804485547,,162020.98,162020.98,59.661
2013,3.308508247100846,13318.59521483491,24011.59101356133,1.78955553984587,1.786,12.88054,41.84075,30.44282,36.55,7.0,,59.2352804485547,,162987.982,162987.982,62.171
2014,1.792649471392593,13421.53834223378,24197.18328007944,4.71867527854671,1.774,11.99907,42.07072,30.07909,36.27,7.0,,59.2483618846818,,165431.55,165431.55,67.914
2015,2.151942499811838,13569.94812747328,24464.74566245534,4.3487735321705,1.737,12.84793,41.70881,30.199,36.02,7.0,,59.3082864134359,,154711.201,154711.201,68.99
2016,1.75303874901438,13644.62326092771,24599.37463303879,3.78619355893115,1.676,13.04956,41.71369,29.1628,34.76,7.0,,59.5837218014712,,174479.804,174479.804,68.989
2017,1.357695373495972,13615.52385774011,24546.91242086036,2.18271846868523,1.598,13.10901,43.22208,28.3165,34.22,7.0,,59.58372180147,,210512.275,210512.275,72.226
2018,3.990029477844885,13906.77055815935,25071.99006919421,2.43488981353058,1.564,,,27.54174,33.68,7.007883,,59.593631773157,,193110.029,193110.029,70.919
2019,0.7431300313024849,13761.37447356481,24809.86097359945,2.55754475703323,1.545,,,,31.68,,,60.6598192869971,,215373.446,215373.446,81.926
2020,-6.145246856790621,12741.15750744641,22970.5504351843,3.04549084804331,1.537,,,,26.61,,,61.0552793812194,,208482.279,208482.279,75.449
2021,11.7374310651402,14095.7822394323,25412.75207256649,4.52456838259136,1.537,,,,26.83,,,61.1189387915359,,167555.945,167555.945,60.384
2022,2.440403398338049,14358.3476757158,25886.12135578594,11.6438667110559,,,,,29.68,,,61.1189387915359,,174791.905,174791.905,57.711
2001,1.67789830769955,4007.528049557112,9146.404851754502,7.96556090304835,2.516,,,,57.13,,68.0,,57.0,4960.71,4960.71,5.341
2002,2.503980465506856,4045.306746880698,9232.627394983265,6.3515072877887,2.458,,,,56.26,,66.0,,55.0,5471.95,5471.95,6.732
2003,3.918271903598324,4142.007702807912,9453.328555779808,7.12978862941867,2.395,,,,56.75,,64.0,,53.0,7321.979,7321.979,7.688
2004,5.333022067452362,4301.0350421822,9816.27758830756,5.90402005546497,2.33,,,,54.8,,64.0,,53.0,11067.058,11067.058,8.8
2005,4.828761107950854,4447.566817844546,10150.70792223932,5.05101962689697,2.263,,,,52.41,,60.0,,50.0,17017.685,17017.685,11.502
2006,6.716868698444017,4685.054585914726,10692.72765291831,4.29342363628925,2.198,,,,,,62.0,,50.0,19358.026,19358.026,11.357
2007,6.738194690909751,4939.117956966151,11272.5779798286,5.54438485815156,2.137,,,37.9675,48.81,,61.0,,50.0,32196.003,32196.003,15.138
2008,3.283446186165406,5042.061145784969,11507.52582548911,6.99688495554508,2.081,,,37.30833,48.33,,62.0,,51.0,30765.783,30765.783,14.484
2009,1.139648645480619,5042.144958929181,11507.71711272139,4.20251661216488,2.033,,,39.85,52.14,,65.0,,53.0,32782.646,32782.646,13.361
2010,4.494658970709224,5209.732470757127,11890.20307721663,2.27200227892008,1.992,,,40.76833,51.66,,61.0,82.7578822368129,48.0,45931.265,45931.265,16.158
2011,6.947891981735552,5511.099852782438,12578.01562675611,3.41503344776241,1.958,,,42.54417,52.66,,,82.7703698807741,,54005.677,54005.677,16.949
2012,3.912635767161149,5667.498750728533,12934.96575194396,3.16930188840063,1.93,,,44.31,53.6,,,82.8162088158412,,68349.094,68349.094,18.133
2013,5.133993519956718,5899.767919903309,13465.07504365258,2.01699224310378,1.905,,,44.18333,52.09,,,82.9431868475918,,66762.418,66762.418,18.014
2014,4.499030001109716,6107.08301998524,13938.23151661623,2.89883787761738,1.883,,,44.36,51.55,,,83.0996413008312,,63741.598,63741.598,19.989
2015,2.955901375275232,6228.651621860958,14215.68825210682,4.98983115849532,1.863,23.95541,52.5515,45.03417,51.4,,,83.380932184,,51968.234,51968.234,20.34
2016,2.087382501627943,6291.079698215338,14358.16821815883,7.51346024627683,1.843,20.98491,48.95261,43.78833,50.06,,,83.7244830286835,,64578.401,64578.401,22.434
2017,1.35936086788746,6280.891050869871,14334.91460836222,4.31431325695007,1.818,,,43.28667,49.23,,,83.7312760645859,,77642.887,77642.887,25.066
